arr,No schooling or primary school: Can read a whole sentence,No schooling or primary school: Can read part of a sentence,No schooling or primary school: Cannot read at all,No schooling or primary school: No card with required language,No schooling or primary school: Missing
0,12.7,12.0,40.3,0.1,0.1
1,12.7,12.0,40.3,0.1,0.1
2,12.7,12.0,40.3,0.1,0.1
3,12.7,12.0,40.3,0.1,0.1
4,12.7,12.0,40.3,0.1,0.1
5,12.7,12.0,40.3,0.1,0.1
6,12.7,12.0,40.3,0.1,0.1
7,12.7,12.0,40.3,0.1,0.1
8,12.7,12.0,40.3,0.1,0.1
9,12.7,12.0,40.3,0.1,0.1
10,12.7,12.0,40.3,0.1,0.1
11,12.7,12.0,40.3,0.1,0.1
12,12.7,12.0,40.3,0.1,0.1
13,12.7,12.0,40.3,0.1,0.1
14,12.7,12.0,40.3,0.1,0.1
15,12.7,12.0,40.3,0.1,0.1
16,12.7,12.0,40.3,0.1,0.1
17,12.7,12.0,40.3,0.1,0.1
18,12.7,12.0,40.3,0.1,0.1
19,12.7,12.0,40.3,0.1,0.1
20,12.7,12.0,40.3,0.1,0.1
21,12.7,12.0,40.3,0.1,0.1
22,4.9,5.6,79.4,0.1,0.1
23,4.9,5.6,79.4,0.1,0.1
24,4.9,5.6,79.4,0.1,0.1
25,4.9,5.6,79.4,0.1,0.1
26,4.9,5.6,79.4,0.1,0.1
27,4.9,5.6,79.4,0.1,0.1
28,4.9,5.6,79.4,0.1,0.1
29,4.9,5.6,79.4,0.1,0.1
30,10.4,6.6,60.9,0.1,0.0
31,10.4,6.6,60.9,0.1,0.0
32,10.4,6.6,60.9,0.1,0.0
33,10.4,6.6,60.9,0.1,0.0
34,10.4,6.6,60.9,0.1,0.0
35,10.4,6.6,60.9,0.1,0.0
36,10.4,6.6,60.9,0.1,0.0
37,10.4,6.6,60.9,0.1,0.0
38,10.4,6.6,60.9,0.1,0.0
39,5.5,9.3,77.1,0.2,0.0
40,5.5,9.3,77.1,0.2,0.0
41,5.5,9.3,77.1,0.2,0.0
42,5.5,9.3,77.1,0.2,0.0
43,5.5,9.3,77.1,0.2,0.0
44,5.5,9.3,77.1,0.2,0.0
45,5.5,9.3,77.1,0.2,0.0
46,5.5,9.3,77.1,0.2,0.0
47,5.5,9.3,77.1,0.2,0.0
48,5.5,9.3,77.1,0.2,0.0
49,5.5,9.3,77.1,0.2,0.0
50,9.7,6.8,68.2,0.0,0.0
51,9.7,6.8,68.2,0.0,0.0
52,9.7,6.8,68.2,0.0,0.0
53,9.7,6.8,68.2,0.0,0.0
54,9.7,6.8,68.2,0.0,0.0
55,9.7,6.8,68.2,0.0,0.0
56,9.7,6.8,68.2,0.0,0.0
57,9.7,6.8,68.2,0.0,0.0
58,2.5,6.8,83.4,0.1,0.0
59,2.5,6.8,83.4,0.1,0.0
60,2.5,6.8,83.4,0.1,0.0
61,2.5,6.8,83.4,0.1,0.0
62,2.5,6.8,83.4,0.1,0.0
63,2.5,6.8,83.4,0.1,0.0
64,2.5,6.8,83.4,0.1,0.0
65,2.5,6.8,83.4,0.1,0.0
66,2.5,6.8,83.4,0.1,0.0
67,9.2,8.0,63.4,0.4,0.1
68,9.2,8.0,63.4,0.4,0.1
69,9.2,8.0,63.4,0.4,0.1
70,9.2,8.0,63.4,0.4,0.1
71,9.2,8.0,63.4,0.4,0.1
72,9.2,8.0,63.4,0.4,0.1
73,9.2,8.0,63.4,0.4,0.1
74,6.9,6.7,73.6,0.1,0.0
75,6.9,6.7,73.6,0.1,0.0
76,6.9,6.7,73.6,0.1,0.0
77,6.9,6.7,73.6,0.1,0.0
78,6.9,6.7,73.6,0.1,0.0
79,6.9,6.7,73.6,0.1,0.0
80,6.9,6.7,73.6,0.1,0.0
81,6.9,6.7,73.6,0.1,0.0
82,6.9,6.7,73.6,0.1,0.0
83,6.0,6.7,73.9,0.0,0.0
84,6.0,6.7,73.9,0.0,0.0
85,6.0,6.7,73.9,0.0,0.0
86,6.0,6.7,73.9,0.0,0.0
87,6.0,6.7,73.9,0.0,0.0
88,6.0,6.7,73.9,0.0,0.0
89,6.0,6.7,73.9,0.0,0.0
90,6.0,6.7,73.9,0.0,0.0
91,6.0,6.7,73.9,0.0,0.0
92,9.2,9.6,36.2,0.1,0.0
93,9.2,9.6,36.2,0.1,0.0
94,9.2,9.6,36.2,0.1,0.0
95,9.2,9.6,36.2,0.1,0.0
96,9.2,9.6,36.2,0.1,0.0
97,9.2,9.6,36.2,0.1,0.0
98,9.2,9.6,36.2,0.1,0.0
99,9.2,9.6,36.2,0.1,0.0
100,4.3,5.8,77.3,0.0,0.0
101,4.3,5.8,77.3,0.0,0.0
102,4.3,5.8,77.3,0.0,0.0
103,4.3,5.8,77.3,0.0,0.0
104,4.3,5.8,77.3,0.0,0.0
105,4.3,5.8,77.3,0.0,0.0
106,3.3,5.5,83.1,0.0,0.0
107,3.3,5.5,83.1,0.0,0.0
108,3.3,5.5,83.1,0.0,0.0
109,3.3,5.5,83.1,0.0,0.0
110,3.3,5.5,83.1,0.0,0.0
111,3.3,5.5,83.1,0.0,0.0
112,3.3,5.5,83.1,0.0,0.0
113,3.3,5.5,83.1,0.0,0.0
114,3.3,5.5,83.1,0.0,0.0
115,3.3,5.5,83.1,0.0,0.0
116,3.3,5.5,83.1,0.0,0.0
117,3.3,5.5,83.1,0.0,0.0
118,5.3,7.4,78.3,0.0,0.1
119,5.3,7.4,78.3,0.0,0.1
120,5.3,7.4,78.3,0.0,0.1
121,5.3,7.4,78.3,0.0,0.1
122,5.3,7.4,78.3,0.0,0.1
