arr,Mass communication media: No mass media,Mass communication media: Reads newspaper,Mass communication media: Watches television,Mass communication media: Listens to radio weekly,Mass communication media: All three media
0,4.2,31.6,91.7,69.1,25.4
1,4.2,31.6,91.7,69.1,25.4
2,4.2,31.6,91.7,69.1,25.4
3,4.2,31.6,91.7,69.1,25.4
4,4.2,31.6,91.7,69.1,25.4
5,4.2,31.6,91.7,69.1,25.4
6,4.2,31.6,91.7,69.1,25.4
7,4.2,31.6,91.7,69.1,25.4
8,4.2,31.6,91.7,69.1,25.4
9,4.2,31.6,91.7,69.1,25.4
10,4.2,31.6,91.7,69.1,25.4
11,4.2,31.6,91.7,69.1,25.4
12,4.2,31.6,91.7,69.1,25.4
13,4.2,31.6,91.7,69.1,25.4
14,4.2,31.6,91.7,69.1,25.4
15,4.2,31.6,91.7,69.1,25.4
16,4.2,31.6,91.7,69.1,25.4
17,4.2,31.6,91.7,69.1,25.4
18,4.2,31.6,91.7,69.1,25.4
19,4.2,31.6,91.7,69.1,25.4
20,4.2,31.6,91.7,69.1,25.4
21,4.2,31.6,91.7,69.1,25.4
22,24.6,3.8,60.7,58.4,3.3
23,24.6,3.8,60.7,58.4,3.3
24,24.6,3.8,60.7,58.4,3.3
25,24.6,3.8,60.7,58.4,3.3
26,24.6,3.8,60.7,58.4,3.3
27,24.6,3.8,60.7,58.4,3.3
28,24.6,3.8,60.7,58.4,3.3
29,24.6,3.8,60.7,58.4,3.3
30,32.0,7.3,44.6,54.2,4.6
31,32.0,7.3,44.6,54.2,4.6
32,32.0,7.3,44.6,54.2,4.6
33,32.0,7.3,44.6,54.2,4.6
34,32.0,7.3,44.6,54.2,4.6
35,32.0,7.3,44.6,54.2,4.6
36,32.0,7.3,44.6,54.2,4.6
37,32.0,7.3,44.6,54.2,4.6
38,32.0,7.3,44.6,54.2,4.6
39,22.9,4.6,49.5,65.3,3.3
40,22.9,4.6,49.5,65.3,3.3
41,22.9,4.6,49.5,65.3,3.3
42,22.9,4.6,49.5,65.3,3.3
43,22.9,4.6,49.5,65.3,3.3
44,22.9,4.6,49.5,65.3,3.3
45,22.9,4.6,49.5,65.3,3.3
46,22.9,4.6,49.5,65.3,3.3
47,22.9,4.6,49.5,65.3,3.3
48,22.9,4.6,49.5,65.3,3.3
49,22.9,4.6,49.5,65.3,3.3
50,20.6,7.8,48.4,69.1,6.2
51,20.6,7.8,48.4,69.1,6.2
52,20.6,7.8,48.4,69.1,6.2
53,20.6,7.8,48.4,69.1,6.2
54,20.6,7.8,48.4,69.1,6.2
55,20.6,7.8,48.4,69.1,6.2
56,20.6,7.8,48.4,69.1,6.2
57,20.6,7.8,48.4,69.1,6.2
58,38.0,6.4,27.5,57.3,4.9
59,38.0,6.4,27.5,57.3,4.9
60,38.0,6.4,27.5,57.3,4.9
61,38.0,6.4,27.5,57.3,4.9
62,38.0,6.4,27.5,57.3,4.9
63,38.0,6.4,27.5,57.3,4.9
64,38.0,6.4,27.5,57.3,4.9
65,38.0,6.4,27.5,57.3,4.9
66,38.0,6.4,27.5,57.3,4.9
67,28.5,9.1,57.6,50.0,6.6
68,28.5,9.1,57.6,50.0,6.6
69,28.5,9.1,57.6,50.0,6.6
70,28.5,9.1,57.6,50.0,6.6
71,28.5,9.1,57.6,50.0,6.6
72,28.5,9.1,57.6,50.0,6.6
73,28.5,9.1,57.6,50.0,6.6
74,34.4,3.7,29.1,58.0,2.6
75,34.4,3.7,29.1,58.0,2.6
76,34.4,3.7,29.1,58.0,2.6
77,34.4,3.7,29.1,58.0,2.6
78,34.4,3.7,29.1,58.0,2.6
79,34.4,3.7,29.1,58.0,2.6
80,34.4,3.7,29.1,58.0,2.6
81,34.4,3.7,29.1,58.0,2.6
82,34.4,3.7,29.1,58.0,2.6
83,33.2,2.3,32.3,60.1,1.7
84,33.2,2.3,32.3,60.1,1.7
85,33.2,2.3,32.3,60.1,1.7
86,33.2,2.3,32.3,60.1,1.7
87,33.2,2.3,32.3,60.1,1.7
88,33.2,2.3,32.3,60.1,1.7
89,33.2,2.3,32.3,60.1,1.7
90,33.2,2.3,32.3,60.1,1.7
91,33.2,2.3,32.3,60.1,1.7
92,21.2,5.8,64.9,60.9,4.7
93,21.2,5.8,64.9,60.9,4.7
94,21.2,5.8,64.9,60.9,4.7
95,21.2,5.8,64.9,60.9,4.7
96,21.2,5.8,64.9,60.9,4.7
97,21.2,5.8,64.9,60.9,4.7
98,21.2,5.8,64.9,60.9,4.7
99,21.2,5.8,64.9,60.9,4.7
100,39.3,2.6,28.5,49.5,1.6
101,39.3,2.6,28.5,49.5,1.6
102,39.3,2.6,28.5,49.5,1.6
103,39.3,2.6,28.5,49.5,1.6
104,39.3,2.6,28.5,49.5,1.6
105,39.3,2.6,28.5,49.5,1.6
106,58.9,1.7,24.4,33.1,1.1
107,58.9,1.7,24.4,33.1,1.1
108,58.9,1.7,24.4,33.1,1.1
109,58.9,1.7,24.4,33.1,1.1
110,58.9,1.7,24.4,33.1,1.1
111,58.9,1.7,24.4,33.1,1.1
112,58.9,1.7,24.4,33.1,1.1
113,58.9,1.7,24.4,33.1,1.1
114,58.9,1.7,24.4,33.1,1.1
115,58.9,1.7,24.4,33.1,1.1
116,58.9,1.7,24.4,33.1,1.1
117,58.9,1.7,24.4,33.1,1.1
118,33.4,2.5,44.3,53.1,1.8
119,33.4,2.5,44.3,53.1,1.8
120,33.4,2.5,44.3,53.1,1.8
121,33.4,2.5,44.3,53.1,1.8
122,33.4,2.5,44.3,53.1,1.8
